raw_facet,normalized_facet,facet_type,conversation_observable,sensitivity,scoring_definition,score_1_anchor,score_2_anchor,score_3_anchor,score_4_anchor,score_5_anchor,abstention_reason,data_quality_flag
Risktaking,Risktaking,conversation_observable,True,low,"Measures the degree of risktaking demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of risktaking.,Slight evidence of risktaking; brief or weak signals.,Moderate risktaking; clear but not dominant evidence.,Strong risktaking; multiple clear indicators.,Very strong risktaking; pervasive and compelling evidence.,,
Naivety,Naivety,conversation_observable,True,low,"Measures the degree of naivety demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of naivety.,Slight evidence of naivety; brief or weak signals.,Moderate naivety; clear but not dominant evidence.,Strong naivety; multiple clear indicators.,Very strong naivety; pervasive and compelling evidence.,,
Acidity,Acidity,conversation_observable,True,low,"Measures the degree of acidity demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of acidity.,Slight evidence of acidity; brief or weak signals.,Moderate acidity; clear but not dominant evidence.,Strong acidity; multiple clear indicators.,Very strong acidity; pervasive and compelling evidence.,,
Democratic Leadership:,Democratic Leadership,conversation_observable,True,low,"Measures the degree of democratic leadership demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of democratic leadership.,Slight evidence of democratic leadership; brief or weak signals.,Moderate democratic leadership; clear but not dominant evidence.,Strong democratic leadership; multiple clear indicators.,Very strong democratic leadership; pervasive and compelling evidence.,,trailing_colon
Common-sense,Common-sense,conversation_observable,True,low,"Measures the degree of common-sense demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of common-sense.,Slight evidence of common-sense; brief or weak signals.,Moderate common-sense; clear but not dominant evidence.,Strong common-sense; multiple clear indicators.,Very strong common-sense; pervasive and compelling evidence.,,
Hesitation,Hesitation,conversation_observable,True,low,"Measures the degree of hesitation demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of hesitation.,Slight evidence of hesitation; brief or weak signals.,Moderate hesitation; clear but not dominant evidence.,Strong hesitation; multiple clear indicators.,Very strong hesitation; pervasive and compelling evidence.,,
Discontentment,Discontentment,conversation_observable,True,low,"Measures the degree of discontentment demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of discontentment in the conversation.,Minimal/isolated signs of discontentment.,Moderate discontentment apparent in several statements.,Clear and repeated discontentment throughout.,Pervasive discontentment dominating the conversation.,,
Overprotectiveness,Overprotectiveness,conversation_observable,True,low,"Measures the degree of overprotectiveness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of overprotectiveness.,Slight evidence of overprotectiveness; brief or weak signals.,Moderate overprotectiveness; clear but not dominant evidence.,Strong overprotectiveness; multiple clear indicators.,Very strong overprotectiveness; pervasive and compelling evidence.,,
Merriness,Merriness,conversation_observable,True,low,"Measures the degree of merriness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of merriness.,Slight evidence of merriness; brief or weak signals.,Moderate merriness; clear but not dominant evidence.,Strong merriness; multiple clear indicators.,Very strong merriness; pervasive and compelling evidence.,,
Emotionalism,Emotionalism,conversation_observable,True,low,"Measures the degree of emotionalism demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of emotionalism.,Slight evidence of emotionalism; brief or weak signals.,Moderate emotionalism; clear but not dominant evidence.,Strong emotionalism; multiple clear indicators.,Very strong emotionalism; pervasive and compelling evidence.,,
Self-improvement,Self-improvement,conversation_observable,True,low,"Measures the degree of self-improvement demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of self-improvement.,Slight evidence of self-improvement; brief or weak signals.,Moderate self-improvement; clear but not dominant evidence.,Strong self-improvement; multiple clear indicators.,Very strong self-improvement; pervasive and compelling evidence.,,
Statistical Reasoning,Statistical Reasoning,conversation_observable,True,low,"Measures the degree of statistical reasoning demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of statistical reasoning.,Slight evidence of statistical reasoning; brief or weak signals.,Moderate statistical reasoning; clear but not dominant evidence.,Strong statistical reasoning; multiple clear indicators.,Very strong statistical reasoning; pervasive and compelling evidence.,,
Assertiveness and control in relationships,Assertiveness and Control in Relationships,conversation_observable,True,low,"Measures the degree of assertiveness and control in relationships demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of assertiveness and control in relationships.,Slight evidence of assertiveness and control in relationships; brief or weak signals.,Moderate assertiveness and control in relationships; clear but not dominant evidence.,Strong assertiveness and control in relationships; multiple clear indicators.,Very strong assertiveness and control in relationships; pervasive and compelling evidence.,,
Cunningness,Cunningness,conversation_observable,True,low,"Measures the degree of cunningness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of cunningness.,Slight evidence of cunningness; brief or weak signals.,Moderate cunningness; clear but not dominant evidence.,Strong cunningness; multiple clear indicators.,Very strong cunningness; pervasive and compelling evidence.,,
Adventure-Seeking Behavior,Adventure-seeking Behavior,conversation_observable,True,low,"Measures the degree of adventure-seeking behavior demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of adventure-seeking behavior.,Slight evidence of adventure-seeking behavior; brief or weak signals.,Moderate adventure-seeking behavior; clear but not dominant evidence.,Strong adventure-seeking behavior; multiple clear indicators.,Very strong adventure-seeking behavior; pervasive and compelling evidence.,,
Compassion Fatigue,Compassion Fatigue,conversation_observable,True,low,"Measures the degree of compassion fatigue demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of compassion fatigue.,Slight evidence of compassion fatigue; brief or weak signals.,Moderate compassion fatigue; clear but not dominant evidence.,Strong compassion fatigue; multiple clear indicators.,Very strong compassion fatigue; pervasive and compelling evidence.,,
